x_center,y_center,width,height,front_top_left_x,front_top_left_y,front_top_right_x,front_top_right_y,front_bottom_left_x,front_bottom_left_y,front_bottom_right_x,front_bottom_right_y,rear_top_left_x,rear_top_left_y,rear_top_right_x,rear_top_right_y,rear_bottom_left_x,rear_bottom_left_y,rear_bottom_right_x,rear_bottom_right_y
455.5,295.0,211,210,451.60198974609375,222.88992309570312,564.6323852539062,214.29713439941406,451.1123046875,396.44683837890625,564.146240234375,396.1368713378906,337.80517578125,181.3382110595703,470.656005859375,168.2804718017578,337.1753845214844,393.35791015625,470.0281066894531,392.7931213378906
455.5,294.5,209,209,451.5334167480469,222.40550231933594,564.5287475585938,213.72091674804688,451.1227111816406,395.9034118652344,564.1317749023438,395.513916015625,337.8619079589844,180.8657989501953,470.6486511230469,167.69252014160156,337.3210144042969,392.7853088378906,470.1242980957031,392.1203308105469
455.5,295.0,209,210,452.17791748046875,223.00405883789062,565.1408081054688,214.38375854492188,451.6781005859375,396.4862976074219,564.6436767578125,396.1832275390625,338.4950256347656,181.52557373046875,471.2131042480469,168.42947387695312,337.853271484375,393.4060363769531,470.5720520019531,392.8495788574219
454.5,294.0,211,210,450.60369873046875,221.89590454101562,563.6372680664062,213.310791015625,450.1081848144531,395.4546813964844,563.1442260742188,395.1517028808594,336.81182861328125,180.34837341308594,469.66802978515625,167.30052185058594,336.17584228515625,392.3714294433594,469.0324401855469,391.81561279296875
455.5,294.0,213,210,451.70855712890625,221.9199676513672,564.7515258789062,213.26820373535156,451.2829895019531,395.4667663574219,564.3397216796875,395.0905456542969,337.9872741699219,180.3412322998047,470.8633728027344,167.21109008789062,337.42742919921875,392.34991455078125,470.3199462890625,391.7018127441406
454.0,294.0,206,210,450.2720947265625,221.88406372070312,563.2989501953125,213.2963409423828,449.77392578125,395.4320983886719,562.8034057617188,395.12884521484375,336.5022888183594,180.33592224121094,469.3462829589844,167.28427124023438,335.8627014160156,392.3406677246094,468.707275390625,391.78399658203125
455.0,294.0,212,210,451.2155456542969,221.89691162109375,564.2454223632812,213.3114013671875,450.7155456542969,395.4508056640625,563.748046875,395.14959716796875,337.4339904785156,180.34808349609375,470.28277587890625,167.29913330078125,336.7921142578125,392.3621520996094,469.6414489746094,391.80810546875
455.0,294.0,212,210,450.93914794921875,221.9189453125,563.9976806640625,213.26756286621094,450.5224304199219,395.4827880859375,563.5953369140625,395.1009521484375,337.1985778808594,180.33181762695312,470.1036071777344,167.20314025878906,336.6492919921875,392.3709716796875,469.5716857910156,391.71636962890625
455.0,294.0,212,210,451.0731506347656,221.88597106933594,564.046630859375,213.2699737548828,450.5765686035156,395.38250732421875,563.553466796875,395.0716247558594,337.3404235839844,180.3652801513672,470.0854187011719,167.27513122558594,336.7019958496094,392.2760925292969,469.4486389160156,391.70867919921875
454.5,294.0,211,210,450.4447326660156,221.8960723876953,563.42626953125,213.2848358154297,449.95001220703125,395.3994445800781,562.9346313476562,395.08966064453125,336.70880126953125,180.37684631347656,469.4692077636719,167.2936248779297,336.0731201171875,392.30078125,468.83477783203125,391.7352600097656
